name,price,price_per_gram,grams,type,producer,brand,potency,thc,cbd
Rotterdam Indica,"29.95, 99.95, 149.95","8.56 , $6.66 , $5.36 ","3.5, 15, 28",Indica Dominant,The Green Organic Dutchman,Highly Dutch Organic,Very Strong,16.00 - 22.00%  ,0.00 - 2.00%  
OS.Reserve Indica,"49.95, 87.95, 149.95","7.14 , $6.28 , $5.36 ","7, 14, 28",Indica Dominant,Hexo Operations,Original Stash,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Afghan Kush,"22.95, 42.70, 77.10","6.56 , $6.10 , $5.51 ","3.5, 7, 14",Indica Dominant,Pure Sunfarms,Pure Sunfarms,Very Strong,18.00 - 22.00%  ,0.00 - 0.50%  
D. Bubba,"22.95, 42.70, 77.10","6.56 , $6.10 , $5.51 ","3.5, 7, 14",Indica Dominant,Pure Sunfarms,Pure Sunfarms,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Polar Kish,19.75,5.64 ,3.5,Indica Dominant,Northern Green Canada,Northern Green Canada,Very Strong,14.00 - 20.00%  ,0.00 - 1.00%  
Black Cherry Punch,"7.50, 23.65, 79.30","7.50 , $6.76 , $5.66 ","1, 3.5, 14",Indica Dominant,Redecan,Redecan,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Lilac Diesel,"7.50, 23.65, 79.30","7.50 , $6.76 , $5.66 ","1, 3.5, 14",Sativa Dominant,Redecan,Redecan,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Outlaw,"7.50, 23.65, 43.75, 84.95","7.50 , $6.76 , $6.25 , $5.66 ","1, 3.5, 7, 15",Sativa Dominant,Redecan,Redecan,Very Strong,18.00 - 24.00%  ,0.00 - 0.10%  
Wappa,"7.50, 23.65, 43.75, 84.95","7.50 , $6.76 , $6.25 , $5.66 ","1, 3.5, 7, 15",Indica Dominant,Redecan,Redecan,Very Strong,19.00 - 25.00%  ,0.00 - 0.10%  
Tsunami,"28.95, 169.95","8.27 , $5.67 ","3.5, 30",Indica Dominant,Hexo Operations,Hexo,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Flo,19.95,5.70 ,3.5,Hybrid,Emblem Cannabis,Divvy,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
The Adventurer,19.95,5.70 ,3.5,Indica Dominant,Natural MedCo,Eve & Co.,Very Strong,16.00 - 20.00%  ,0.00 - 1.00%  
Ghost Train Haze,79.95,5.71 ,14,Sativa Dominant,Sensi Brands,Station House,Very Strong,18.00 - 22.00%  ,0.01 - 0.20%  
Blue Dream,79.95,5.71 ,14,Sativa Dominant,Sensi Brands,Station House,Very Strong,18.00 - 22.00%  ,0.00 - 0.50%  
OG Kush,79.95,5.71 ,14,Indica Dominant,Sensi Brands,Station House,Very Strong,18.00 - 22.00%  ,0.00 - 0.20%  
Muskoka Kush,79.95,5.71 ,14,Indica Dominant,Muskoka Grown Limited,Muskoka Grown,Very Strong,20.00 - 24.00%  ,0.00 - 1.00%  
Subway Scientist,"8.95, 29.95, 55.70, 159.95","8.56 , $7.96 , $5.71 ","1, 3.5, 7, 28",Indica Dominant,Aphria,RIFF,Very Strong,19.00 - 25.00%  ,0.00 - 1.00%  
Hell Cat 33,"32.95, 159.95","9.41 , $5.71 ","3.5, 28",Hybrid,Aphria,RIFF,Very Strong,18.00 - 24.00%  ,0.00 - 2.00%  
White Rhino,"22.95, 42.70","6.56 , $6.10 ","3.5, 7",Indica Dominant,Pure Sunfarms,Pure Sunfarms,Very Strong,18.00 - 22.00%  ,0.00 - 1.00%  
Island Honey,"22.95, 42.70","6.56 , $6.10 ","3.5, 7",Sativa Dominant,Pure Sunfarms,Pure Sunfarms,Strong,16.00 - 19.00%  ,0.00 - 1.99%  
Balanced,"21.50, 40.00","6.14 , $5.71 ","3.5, 7",Hybrid,Canopy Growth,TWD.,Medium,7.00 - 13.00%  ,5.00 - 11.00%  
Grower's Choice Hybrid,21.50,6.14 ,3.5,Hybrid,Aphria,Good Supply,Very Strong,16.00 - 23.00%  ,0.00 - 2.00%  
Sky Pilot,"29.95, 92.95","8.56 , $6.20 ","3.5, 15",Indica Dominant,Tantalus Labs,Tantalus Labs,Very Strong,18.00 - 24.00%  ,0.00 - 1.00%  
Flicker Buds,"21.95, 40.80, 74.95","6.27 , $5.83 , $5.00 ","3.5, 7, 15",Indica Dominant,Organigram,Trailblazer,Strong,15.00 - 19.00%  ,0.00 - 1.00%  
Spark Buds,"21.95, 40.80, 74.95","6.27 , $5.83 , $5.00 ","3.5, 7, 15",Sativa Dominant,Organigram,Trailblazer,Strong,15.00 - 19.00%  ,0.00 - 1.00%  
OS.Reserve Indica,"49.95, 87.95","7.14 , $6.28 ","7, 14",Indica Dominant,Hexo Operations,Original Stash,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Pedro's Sweet Sativa Ready To Roll,22.50,6.43 ,3.5,Sativa Dominant,WeedMD,Color Cannabis,Very Strong,15.00 - 21.00%  ,0.00 - 1.00%  
Ghost Train Haze Ready To Roll,22.50,6.43 ,3.5,Sativa Dominant,WeedMD,Color Cannabis,Very Strong,18.00 - 24.00%  ,0.00 - 1.00%  
Platinum Cookies,22.95,6.56 ,3.5,Sativa Dominant,Sundial Growers,Palmetto,Very Strong,20.00 - 26.00%  ,1.00%  
Blue Dream,22.95,6.56 ,3.5,Sativa Dominant,Pure Sunfarms,Pure Sunfarms,Strong,16.00 - 19.00%  ,0.00 - 1.00%  
Pine Kush,"22.95, 124.95","6.56 , $4.46 ","3.5, 28",Indica Dominant,Kolab Project,Back Forty,Very Strong,18.00 - 24.00%  ,0.00 - 1.00%  
Headband,22.95,6.56 ,3.5,Sativa Dominant,Sundial Growers,Palmetto,Very Strong,17.00 - 22.00%  ,0.00 - 1.00%  
Nuken,22.95,6.56 ,3.5,Indica Dominant,Sundial Growers,Palmetto,Very Strong,17.00 - 22.00%  ,0.00 - 1.00%  
Headband,"22.95, 42.70","6.56 , $6.10 ","3.5, 7",Hybrid,Pure Sunfarms,Pure Sunfarms,Very Strong,17.00 - 23.00%  ,0.00 - 1.99%  
Pure Sun CBD,"22.95, 42.70","6.56 , $6.10 ","3.5, 7",Hybrid,Pure Sunfarms,Pure Sunfarms,Little to Minimal,0.00 - 1.00%  ,14.00 - 20.00%  
Mango Haze,"27.50, 98.95","7.86 , $6.60 ","3.5, 15",Sativa Dominant,WeedMD,Color Cannabis,Mild,4.00 - 10.00%  ,6.00 - 12.00%  
Black Sugar Rose,"27.50, 98.95","7.86 , $6.60 ","3.5, 15",Indica Dominant,WeedMD,Color Cannabis,Very Strong,18.00 - 24.00%  ,0.00 - 1.00%  
Pedro's Sweet Sativa,"27.50, 98.95","7.86 , $6.60 ","3.5, 15",Sativa Dominant,WeedMD,Color Cannabis,Very Strong,16.00 - 22.00%  ,0.00 - 1.00%  
Ghost Train Haze,"27.50, 98.95","7.86 , $6.60 ","3.5, 15",Sativa Dominant,WeedMD,Color Cannabis,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Sinaloa Gold,23.50,6.71 ,3.5,Sativa Dominant,Delta 9 Bio-Tech,Delta 9,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
White Out,23.50,6.71 ,3.5,Sativa Dominant,Delta 9 Bio-Tech,Delta 9,Very Strong,16.00 - 23.00%  ,0.00 - 1.00%  
Blue Dream,22.95,6.56 ,3.5,Sativa Dominant,Pure Sunfarms,Pure Sunfarms,Strong,16.00 - 19.00%  ,0.00 - 1.00%  
Orange Monkey,23.95,6.84 ,3.5,Indica Dominant,Canntrust,Liiv,Very Strong,19.00 - 25.00%  ,0.00 - 10.00%  
Indica,23.95,6.84 ,3.5,Indica Dominant,Aphria,Papa's Herb,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Sativa,23.95,6.84 ,3.5,Sativa Dominant,Aphria,Papa's Herb,Very Strong,18.00 - 24.00%  ,0.00 - 1.00%  
Bali Kush,23.95,6.84 ,3.5,Indica Dominant,Canntrust,liiv,Very Strong,16.00 - 22.00%  ,0.00 - 2.00%  
Royal Highness,"7.20, 23.95, 44.55, 86.25, 147.25","7.20 , $6.84 , $6.36 , $5.75 , $5.26 ","1, 3.5, 7, 15, 28",Hybrid,Aphria,Good Supply,Very Strong,17.00 - 24.00%  ,0.00 - 1.00%  
Free,"7.20, 23.95, 44.55","7.20 , $6.84 , $6.36 ","1, 3.5, 7",Sativa Dominant,Aphria,Solei,Little to Minimal,0.30 - 1.00%  ,11.00 - 17.00%  
Granddaddy Purple,24.50,7.00 ,3.5,Indica Dominant,Delshen Therapeutics,48North,Very Strong,17.00 - 23.20%  ,0.00 - 1.00%  
Sense,"8.50, 26.50, 49.30","8.50 , $7.57 , $7.04 ","1, 3.5, 7",Hybrid,Aphria,Solei,Very Strong,17.00 - 23.00%  ,0.00 - 1.00%  
Unplug,"8.50, 26.50, 49.30","8.50 , $7.57 , $7.04 ","1, 3.5, 7",Hybrid,Aphria,Solei,Very Strong,15.00 - 21.00%  ,0.00 - 1.00%  
Green Cush,"26.50, 49.40","7.57 , $7.06 ","3.5, 7",Sativa Dominant,High Park,Canaca,Very Strong,20.00 - 26.00%  ,0.00 - 0.10%  
Strawberry Ice,"7.50, 24.90","7.50 , $7.11 ","1, 3.5",Sativa Dominant,Maricann Group,Northern Harvest,Very Strong,15.00 - 21.00%  ,0.00 - 4.00%  
Mango Haze,"7.50, 24.90","7.50 , $7.11 ","1, 3.5",Sativa Dominant,Maricann Group,Kiwi Cannabis,Mild,4.00 - 10.00%  ,6.00 - 13.00%  
Cali-O,"7.50, 24.90","7.50 , $7.11 ","1, 3.5",Hybrid,Maricann Group,Kiwi Cannabis,Mild,5.00 - 9.00%  ,6.00 - 12.00%  
HiFi 4G,"24.95, 61.30","7.13 , $8.76 ","3.5, 7",Hybrid,AB Laboratories,Steel City Green,Very Strong,18.00 - 23.00%  ,0.00 - 1.00%  
Glueberry OG,"24.95, 61.30","7.13 , $8.76 ","3.5, 7",Hybrid,AB Laboratories,Steel City Green,Very Strong,17.00 - 22.00%  ,0.00 - 1.00%  
Lemon Ziddy,"24.95, 61.30","7.13 , $8.76 ","3.5, 7",Hybrid,AB Laboratories,Steel City Green,Very Strong,18.00 - 23.00%  ,0.00 - 1.00%  
Rockstar,99.95,7.14 ,14,Indica Dominant,Muskoka Grown Limited,Muskoka Grown,Very Strong,20.00 - 24.00%  ,0.00 - 5.00%  
Hindu Kush,"8.10, 26.95, 50.10","8.10 , $7.70 , $7.16 ","1, 3.5, 7",Indica Dominant,Canopy Growth,Tweed,Very Strong,18.00 - 24.00%  ,0.00 - 0.50%  
Afghan Kush,"8.10, 26.95, 50.10","8.10 , $7.70 , $7.16 ","1, 3.5, 7",Indica Dominant,Canopy Growth,Tweed,Very Strong,19.00 - 25.00%  ,0.00 - 0.50%  
The Edge,25.95,7.41 ,3.5,Sativa Dominant,Muskoka Grown Limited,Muskoka Grown,Strong,13.00 - 19.00%  ,0.00%  
Cold Creek Kush,52.00,7.43 ,7,Indica Dominant,AgMedica Bioscience,Vertical,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Charlees,"7.50, 23.65, 43.75, 84.95","7.50 , $6.76 , $6.25 , $5.66 ","1, 3.5, 7, 15",Indica Dominant,Redecan,Redecan,Very Strong,14.00 - 20.00%  ,0.00 - 1.00%  
Super Lemon Haze,26.50,7.57 ,3.5,Sativa Dominant,Aphria,Solei,Very Strong,18.00 - 24.00%  ,0.00 - 2.00%  
Chocolate Cheesecake,26.50,7.57 ,3.5,Hybrid,Aphria,Solei,Very Strong,19.00 - 25.00%  ,0.00 - 2.00%  
Purps,26.50,7.57 ,3.5,Hybrid,High Park,Canaca,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Mango,"26.50, 49.30","7.57 , $7.04 ","3.5, 7",Indica Dominant,High Park,CANACA,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Blue Nova,26.50,7.57 ,3.5,Sativa Dominant,Sundial Growers,Sundial,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Wappa,"7.95, 26.50","7.95 , $7.57 ","1, 3.5",Indica Dominant,Zenabis,Namaste,Very Strong,14.00 - 20.00%  ,0.00 - 1.00%  
Alien Dawg,26.50,7.57 ,3.5,Indica Dominant,High Park,CANACA,Very Strong,19.00 - 25.00%  ,0.00 - 1.00%  
Balance,"8.50, 26.50, 24.98","8.50 , $7.57 , $3.57 ","1, 3.5, 7",Hybrid,Aphria,Solei,Mild,4.00 - 11.00%  ,8.50 - 15.50%  
Blueberry,"28.95, 53.85","8.27 , $7.69 ","3.5, 7",Hybrid,Peace Naturals Project,Spinach,Very Strong,18.00 - 24.00%  ,0.00 - 1.99%  
Rockstar Kush,"28.95, 53.85","8.27 , $7.69 ","3.5, 7",Indica Dominant,Peace Naturals Project,Spinach,Very Strong,18.00 - 24.00%  ,0.00 - 1.00%  
Diesel,"28.95, 53.85","8.27 , $7.69 ","3.5, 7",Hybrid,Peace Naturals Project,Spinach,Very Strong,18.00 - 24.00%  ,0.00 - 1.00%  
Sensi Star,"28.95, 53.85","8.27 , $7.69 ","3.5, 7",Indica Dominant,Peace Naturals Project,Spinach,Very Strong,18.00 - 24.00%  ,0.00 - 1.00%  
UK Cheese,"8.10, 26.95","8.10 , $7.70 ","1, 3.5",Hybrid,Canopy Growth,Tweed,Very Strong,20.00 - 26.00%  ,0.00 - 0.50%  
Chocolate Cheesecake,26.50,7.57 ,3.5,Hybrid,Aphria,Solei,Very Strong,19.00 - 25.00%  ,0.00 - 2.00%  
Purps,26.50,7.57 ,3.5,Hybrid,High Park,Canaca,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Mango,"26.50, 49.30","7.57 , $7.04 ","3.5, 7",Indica Dominant,High Park,CANACA,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Blue Nova,26.50,7.57 ,3.5,Sativa Dominant,Sundial Growers,Sundial,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Wappa,"7.95, 26.50","7.95 , $7.57 ","1, 3.5",Indica Dominant,Zenabis,Namaste,Very Strong,14.00 - 20.00%  ,0.00 - 1.00%  
Alien Dawg,26.50,7.57 ,3.5,Indica Dominant,High Park,CANACA,Very Strong,19.00 - 25.00%  ,0.00 - 1.00%  
Balance,"8.50, 26.50, 24.98","8.50 , $7.57 , $3.57 ","1, 3.5, 7",Hybrid,Aphria,Solei,Mild,4.00 - 11.00%  ,8.50 - 15.50%  
Blueberry,"28.95, 53.85","8.27 , $7.69 ","3.5, 7",Hybrid,Peace Naturals Project,Spinach,Very Strong,18.00 - 24.00%  ,0.00 - 1.99%  
Rockstar Kush,"28.95, 53.85","8.27 , $7.69 ","3.5, 7",Indica Dominant,Peace Naturals Project,Spinach,Very Strong,18.00 - 24.00%  ,0.00 - 1.00%  
Diesel,"28.95, 53.85","8.27 , $7.69 ","3.5, 7",Hybrid,Peace Naturals Project,Spinach,Very Strong,18.00 - 24.00%  ,0.00 - 1.00%  
Sensi Star,"28.95, 53.85","8.27 , $7.69 ","3.5, 7",Indica Dominant,Peace Naturals Project,Spinach,Very Strong,18.00 - 24.00%  ,0.00 - 1.00%  
UK Cheese,"8.10, 26.95","8.10 , $7.70 ","1, 3.5",Hybrid,Canopy Growth,Tweed,Very Strong,20.00 - 26.00%  ,0.00 - 0.50%  
Chocolate Cheesecake,26.50,7.57 ,3.5,Hybrid,Aphria,Solei,Very Strong,19.00 - 25.00%  ,0.00 - 2.00%  
Jelly Breath,26.95,7.70 ,3.5,Indica Dominant,Organigram,Indi Cannabis,Very Strong,17.00 - 23.00%  ,0.00 - 0.15%  
M’mosa,26.95,7.70 ,3.5,Sativa Dominant,Organigram,Edison Cannabis Co,Very Strong,17.00 - 23.00%  ,0.00 - 0.15%  
Purple Aya,26.95,7.70 ,3.5,Sativa Dominant,SESS Holdings,SELESTE,Very Strong,18.00 - 26.00%  ,0.00 - 1.10%  
King Tut,26.95,7.70 ,3.5,Hybrid,SESS Holdings,SELESTE,Very Strong,18.00 - 24.00%  ,0.00 - 1.10%  
Go Elevate Kali Mist,26.95,7.70 ,3.5,Sativa Dominant,Canada's Island Garden,FIGR,Very Strong,20.00 - 26.00%  ,0.00 - 0.20%  
Go Play Mandarin Cookies,26.95,7.70 ,3.5,Sativa Dominant,Canada's Island Garden,FIGR,Very Strong,19.00 - 25.00%  ,0.00 - 1.00%  
Go Steady Black Cherry Punch,26.95,7.70 ,3.5,Indica Dominant,Canada's Island Garden,FIGR,Very Strong,20.00 - 26.00%  ,0.00 - 0.20%  
Slurricane,26.95,7.70 ,3.5,Indica Dominant,Organigram,Edison Cannabis Co,Very Strong,17.00 - 23.00%  ,0.00 - 0.15%  
Ghost Train Haze UP20,26.95,7.70 ,3.5,Sativa Dominant,Hexo Operations,UP,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Northern Berry UP20,26.95,7.70 ,3.5,Indica Dominant,Hexo Operations,UP,Very Strong,20.00 - 26.00%  ,0.00 - 1.00%  
Cold Creek Kush UP20,26.95,7.70 ,3.5,Indica Dominant,Hexo Operations,UP,Very Strong,20.00 - 27.00%  ,0.00 - 1.00%  
Green Cush,"8.10, 26.95, 50.10, 97.00","8.10 , $7.70 , $7.16 , $6.47 ","1, 3.5, 7, 15",Sativa Dominant,Canopy Growth,Tweed,Very Strong,17.00 - 23.00%  ,0.00 - 0.50%  
Skunk Haze,"8.10, 26.95","8.10 , $7.70 ","1, 3.5",Hybrid,Canopy Growth,Tweed,Medium,6.00 - 12.00%  ,5.00 - 11.00%  
White Shark,27.50,7.86 ,3.5,Sativa Dominant,WeedMD,Color Cannabis,Strong,15.00 - 19.00%  ,0.00 - 2.00%  
Blueberry Seagal,27.50,7.86 ,3.5,Indica Dominant,WeedMD,Color Cannabis,Very Strong,14.00 - 20.00%  ,0.00 - 1.00%  
Pedro's Sweet Sativa,27.50,7.86 ,3.5,Sativa Dominant,WeedMD,Color Cannabis,Very Strong,16.00 - 22.00%  ,0.00 - 1.00%  
